PID,PID_Movie,MovieName,Writer
1,1,Joker (2019) ,Todd Phillips
2,1,Joker (2019) ,Scott Silver
3,1,Joker (2019) ,3 more credits
4,2,Jojo Rabbit (2019) ,Taika Waititi
5,2,Jojo Rabbit (2019) ,Christine Leunens
6,3,The King (2019) ,David Michôd
7,3,The King (2019) ,Joel Edgerton
8,4,Parasite (2019) ,Bong Joon Ho
9,4,Parasite (2019) ,Bong Joon Ho
10,4,Parasite (2019) ,1 more credit
11,5,Marriage Story (2019) ,Noah Baumbach
12,6,1917 (2019) ,Sam Mendes
13,6,1917 (2019) ,Krysty Wilson-Cairns
14,7,Midsommar (2019) ,Ari Aster
15,8,Ready or Not (2019) ,Guy Busick
16,8,Ready or Not (2019) ,R. Christopher Murphy
17,9,Little Joe (2019) ,Géraldine Bajard
18,9,Little Joe (2019) ,Jessica Hausner
19,10,Dolemite Is My Name (2019) ,Scott Alexander
20,10,Dolemite Is My Name (2019) ,Larry Karaszewski
21,11,The Art of Racing in the Rain (2019) ,Mark Bomback
22,11,The Art of Racing in the Rain (2019) ,Garth Stein
23,12,Zombieland: Double Tap (2019) ,Rhett Reese
24,12,Zombieland: Double Tap (2019) ,Paul Wernick
25,12,Zombieland: Double Tap (2019) ,3 more credits
26,13,The Perfection (2018) ,Eric C. Charmelo
27,13,The Perfection (2018) ,Richard Shepard
28,13,The Perfection (2018) ,1 more credit
29,14,The Laundromat (2019) ,Jake Bernstein
30,14,The Laundromat (2019) ,Scott Z. Burns
31,15,John Wick: Chapter 3 - Parabellum (2019) ,Derek Kolstad
32,15,John Wick: Chapter 3 - Parabellum (2019) ,Shay Hatten
33,15,John Wick: Chapter 3 - Parabellum (2019) ,4 more credits
34,16,Us (2019) ,Jordan Peele
35,17,Cold Pursuit (2019) ,Frank Baldwin
36,17,Cold Pursuit (2019) ,Kim Fupz Aakeson
37,18,Fast & Furious Presents: Hobbs & Shaw (2019) ,Chris Morgan
38,18,Fast & Furious Presents: Hobbs & Shaw (2019) ,Drew Pearce
39,18,Fast & Furious Presents: Hobbs & Shaw (2019) ,2 more credits
40,19,It Chapter Two (2019) ,Stephen King
41,19,It Chapter Two (2019) ,Gary Dauberman
42,20,Freaks (2018) ,Zach Lipovsky
43,20,Freaks (2018) ,Adam B. Stein
44,21,The Irishman (2019) ,Steven Zaillian
45,21,The Irishman (2019) ,Charles Brandt
46,22,Black and Blue (2019) ,Peter A. Dowling
47,23,Captive State (2019) ,Erica Beeney
48,23,Captive State (2019) ,Rupert Wyatt
49,24,Once Upon a Time... in Hollywood (2019) ,Quentin Tarantino
50,25,A Beautiful Day in the Neighborhood (2019) ,Micah Fitzerman-Blue
51,25,A Beautiful Day in the Neighborhood (2019) ,Noah Harpster
52,25,A Beautiful Day in the Neighborhood (2019) ,1 more credit
53,26,Rocketman (2019) ,Lee Hall
54,27,Jexi (2019) ,Jon Lucas
55,27,Jexi (2019) ,Scott Moore
56,28,In the Shadow of the Moon (2019) ,Gregory Weidman
57,28,In the Shadow of the Moon (2019) ,Geoffrey Tock
58,29,3 from Hell (2019) ,Rob Zombie
59,30,Eli (2019) ,David Chirchirillo
60,30,Eli (2019) ,Ian Goldberg
61,30,Eli (2019) ,1 more credit
62,31,Pokémon Detective Pikachu (2019) ,Dan Hernandez
63,31,Pokémon Detective Pikachu (2019) ,Benji Samit
64,31,Pokémon Detective Pikachu (2019) ,9 more credits
65,32,Aniara (2018) ,Pella Kagerman
66,32,Aniara (2018) ,Hugo Lilja
67,32,Aniara (2018) ,1 more credit
68,33,Climax (2018) ,Gaspar Noé
69,34,Ad Astra (2019) ,James Gray
70,34,Ad Astra (2019) ,Ethan Gross
71,35,Alita: Battle Angel (2019) ,James Cameron
72,35,Alita: Battle Angel (2019) ,Laeta Kalogridis
73,35,Alita: Battle Angel (2019) ,1 more credit
74,36,Avengers: Endgame (2019) ,Christopher Markus
75,36,Avengers: Endgame (2019) ,Stephen McFeely
76,36,Avengers: Endgame (2019) ,14 more credits
77,37,Under the Silver Lake (2018) ,David Robert Mitchell
78,38,Knives Out (2019) ,Rian Johnson
79,39,Hustlers (2019) ,Lorene Scafaria
80,39,Hustlers (2019) ,Jessica Pressler
81,40,Ford v Ferrari (2019) ,Jez Butterworth
82,40,Ford v Ferrari (2019) ,John-Henry Butterworth
83,40,Ford v Ferrari (2019) ,1 more credit
84,41,Crawl (2019) ,Michael Rasmussen
85,41,Crawl (2019) ,Shawn Rasmussen
86,42,Doctor Sleep (2019) ,Stephen King
87,42,Doctor Sleep (2019) ,Mike Flanagan
88,43,Brightburn (2019) ,Brian Gunn
89,43,Brightburn (2019) ,Mark Gunn
90,44,Long Shot (2019) ,Dan Sterling
91,44,Long Shot (2019) ,Liz Hannah
92,44,Long Shot (2019) ,1 more credit
93,45,47 Meters Down: Uncaged (2019) ,Ernest Riera
94,45,47 Meters Down: Uncaged (2019) ,Johannes Roberts
95,46,Anna (2019) ,Luc Besson
96,47,Hellboy (2019) ,Andrew Cosby
97,47,Hellboy (2019) ,Mike Mignola
98,48,Greta (2018) ,Ray Wright
99,48,Greta (2018) ,Neil Jordan
100,48,Greta (2018) ,1 more credit
101,49,The Beach Bum (2019) ,Harmony Korine
102,50,Countdown (2019) ,Justin Dec
103,51,Avengers: Infinity War (2018) ,Christopher Markus
104,51,Avengers: Infinity War (2018) ,Stephen McFeely
105,51,Avengers: Infinity War (2018) ,14 more credits
106,52,Black Panther (2018) ,Ryan Coogler
107,52,Black Panther (2018) ,Joe Robert Cole
108,52,Black Panther (2018) ,2 more credits
109,53,Roma (2018) ,Alfonso Cuarón
110,54,They Shall Not Grow Old (2018) ,Esat Ozcan
111,55,Spider-Man: Into the Spider-Verse (2018) ,Phil Lord
112,55,Spider-Man: Into the Spider-Verse (2018) ,Rodney Rothman
113,55,Spider-Man: Into the Spider-Verse (2018) ,1 more credit
114,56,If Beale Street Could Talk (2018) ,Barry Jenkins
115,56,If Beale Street Could Talk (2018) ,James Baldwin
116,57,First Man (2018) ,Josh Singer
117,57,First Man (2018) ,James R. Hansen
118,58,Deadpool 2 (2018) ,Rhett Reese
119,58,Deadpool 2 (2018) ,Paul Wernick
120,58,Deadpool 2 (2018) ,1 more credit
121,59,Shoplifters (2018) ,Hirokazu Koreeda
122,59,Shoplifters (2018) ,Hirokazu Koreeda
123,60,Bohemian Rhapsody (2018) ,Anthony McCarten
124,60,Bohemian Rhapsody (2018) ,Peter Morgan
125,60,Bohemian Rhapsody (2018) ,1 more credit
126,61,Vice (2018) ,Adam McKay
127,62,Green Book (2018) ,Nick Vallelonga
128,62,Green Book (2018) ,Brian Hayes Currie
129,62,Green Book (2018) ,1 more credit
130,63,Eighth Grade (2018) ,Bo Burnham
131,65,Isle of Dogs (2018) ,Wes Anderson
132,65,Isle of Dogs (2018) ,Roman Coppola
133,65,Isle of Dogs (2018) ,3 more credits
134,66,Mission: Impossible - Fallout (2018) ,Bruce Geller
135,66,Mission: Impossible - Fallout (2018) ,Christopher McQuarrie
136,67,The Favourite (2018) ,Deborah Davis
137,67,The Favourite (2018) ,Tony McNamara
138,68,The Tale (2018) ,Jennifer Fox
139,69,BlacKkKlansman (2018) ,Charlie Wachtel
140,69,BlacKkKlansman (2018) ,David Rabinowitz
141,69,BlacKkKlansman (2018) ,3 more credits
142,70,Ralph Breaks the Internet (2018) ,Phil Johnston
143,70,Ralph Breaks the Internet (2018) ,Pamela Ribon
144,70,Ralph Breaks the Internet (2018) ,5 more credits
145,71,Cold War (2018) ,Pawel Pawlikowski
146,71,Cold War (2018) ,Pawel Pawlikowski
147,71,Cold War (2018) ,2 more credits
148,72,The Death of Stalin (2017) ,Armando Iannucci
149,72,The Death of Stalin (2017) ,David Schneider
150,72,The Death of Stalin (2017) ,5 more credits
151,73,Ready Player One (2018) ,Zak Penn
152,73,Ready Player One (2018) ,Ernest Cline
153,73,Ready Player One (2018) ,1 more credit
154,74,A Star Is Born (2018) ,Eric Roth
155,74,A Star Is Born (2018) ,Bradley Cooper
156,74,A Star Is Born (2018) ,7 more credits
157,75,Mirai (2018) ,Mamoru Hosoda
158,76,Sorry to Bother You (2018) ,Boots Riley
159,77,Widows (2018) ,Gillian Flynn
160,77,Widows (2018) ,Steve McQueen
161,77,Widows (2018) ,1 more credit
162,78,A Quiet Place (2018) ,Bryan Woods
163,78,A Quiet Place (2018) ,Scott Beck
164,78,A Quiet Place (2018) ,3 more credits
165,79,Burning (2018) ,Jungmi Oh
166,79,Burning (2018) ,Chang-dong Lee
167,79,Burning (2018) ,1 more credit
168,80,Andhadhun (2018) ,Arijit Biswas
169,80,Andhadhun (2018) ,Yogesh Chandekar
170,80,Andhadhun (2018) ,4 more credits
171,81,Shirkers (2018) ,Sandi Tan
172,82,On My Skin: The Last Seven Days of Stefano Cucchi (2018) ,Alessio Cremonini
173,82,On My Skin: The Last Seven Days of Stefano Cucchi (2018) ,Lisa Nur Sultan
174,85,Western (2017) ,Valeska Grisebach
175,86,The Ballad of Buster Scruggs (2018) ,Joel Coen
176,86,The Ballad of Buster Scruggs (2018) ,Ethan Coen
177,86,The Ballad of Buster Scruggs (2018) ,2 more credits
178,87,Creed II (2018) ,Juel Taylor
179,87,Creed II (2018) ,Sylvester Stallone
180,87,Creed II (2018) ,3 more credits
181,88,Crazy Rich Asians (2018) ,Peter Chiarelli
182,88,Crazy Rich Asians (2018) ,Adele Lim
183,88,Crazy Rich Asians (2018) ,1 more credit
184,89,First Reformed (2017) ,Paul Schrader
185,90,Can You Ever Forgive Me? (2018) ,Nicole Holofcener
186,90,Can You Ever Forgive Me? (2018) ,Jeff Whitty
187,91,The Rider (2017) ,Chloé Zhao
188,92,Aquaman (2018) ,David Leslie Johnson-McGoldrick
189,92,Aquaman (2018) ,Will Beall
190,92,Aquaman (2018) ,5 more credits
191,93,Upgrade (2018) ,Leigh Whannell
192,94,Incredibles 2 (2018) ,Brad Bird
193,95,Happy as Lazzaro (2018) ,Alice Rohrwacher
194,96,Sweet Country (2017) ,David Tranter
195,96,Sweet Country (2017) ,Steven McGregor
196,97,Hereditary (2018) ,Ari Aster
197,98,Annihilation (2018) ,Alex Garland
198,98,Annihilation (2018) ,Jeff VanderMeer
199,99,The Endless (2017) ,Justin Benson
200,100,Venom (2018) ,Jeff Pinkner
201,100,Venom (2018) ,Scott Rosenberg
202,100,Venom (2018) ,5 more credits
203,101,"Three Billboards Outside Ebbing, Missouri (2017) ",Martin McDonagh
204,102,Get Out (2017) ,Jordan Peele
205,103,The Florida Project (2017) ,Sean Baker
206,103,The Florida Project (2017) ,Chris Bergoch
207,104,John Wick: Chapter 2 (2017) ,Derek Kolstad
208,104,John Wick: Chapter 2 (2017) ,Derek Kolstad
209,105,Lady Bird (2017) ,Greta Gerwig
210,106,The Shape of Water (2017) ,Guillermo del Toro
211,106,The Shape of Water (2017) ,Vanessa Taylor
212,106,The Shape of Water (2017) ,1 more credit
213,107,Mother! (2017) ,Darren Aronofsky
214,108,Good Time (2017) ,Ronald Bronstein
215,108,Good Time (2017) ,Josh Safdie
216,109,Split (2016) ,M. Night Shyamalan
217,110,Logan (2017) ,James Mangold
218,110,Logan (2017) ,Scott Frank
219,110,Logan (2017) ,2 more credits
220,111,Call Me by Your Name (2017) ,James Ivory
221,111,Call Me by Your Name (2017) ,André Aciman
222,112,Brawl in Cell Block 99 (2017) ,S. Craig Zahler
223,113,Star Wars: Episode VIII - The Last Jedi (2017) ,Rian Johnson
224,113,Star Wars: Episode VIII - The Last Jedi (2017) ,George Lucas
225,114,The Disaster Artist (2017) ,Scott Neustadter
226,114,The Disaster Artist (2017) ,Michael H. Weber
227,114,The Disaster Artist (2017) ,2 more credits
228,115,Blade Runner 2049 (2017) ,Hampton Fancher
229,115,Blade Runner 2049 (2017) ,Michael Green
230,115,Blade Runner 2049 (2017) ,2 more credits
231,116,War for the Planet of the Apes (2017) ,Mark Bomback
232,116,War for the Planet of the Apes (2017) ,Matt Reeves
233,116,War for the Planet of the Apes (2017) ,2 more credits
234,117,Thor: Ragnarok (2017) ,Eric Pearson
235,117,Thor: Ragnarok (2017) ,Craig Kyle
236,117,Thor: Ragnarok (2017) ,4 more credits
237,118,Baby Driver (2017) ,Edgar Wright
238,119,Logan Lucky (2017) ,Jules Asner
239,120,Detroit (2017) ,Mark Boal
240,121,Ingrid Goes West (2017) ,David Branson Smith
241,121,Ingrid Goes West (2017) ,Matt Spicer
242,122,American Made (2017) ,Gary Spinelli
243,123,Dunkirk (2017) ,Christopher Nolan
244,124,"I, Tonya (2017) ",Steven Rogers
245,125,Wind River (2017) ,Taylor Sheridan
