PID,PID_Movie,MovieName,Director
1,1,Joker (2019) ,Todd Phillips
2,2,Jojo Rabbit (2019) ,Taika Waititi
3,3,The King (2019) ,David Michôd
4,4,Parasite (2019) ,Bong Joon Ho
5,5,Marriage Story (2019) ,Noah Baumbach
6,6,1917 (2019) ,Sam Mendes
7,7,Midsommar (2019) ,Ari Aster
8,8,Ready or Not (2019) ,Matt Bettinelli-Olpin
9,9,Little Joe (2019) ,Jessica Hausner
10,10,Dolemite Is My Name (2019) ,Craig Brewer
11,11,The Art of Racing in the Rain (2019) ,Simon Curtis
12,12,Zombieland: Double Tap (2019) ,Ruben Fleischer
13,13,The Perfection (2018) ,Richard Shepard
14,14,The Laundromat (2019) ,Steven Soderbergh
15,15,John Wick: Chapter 3 - Parabellum (2019) ,Chad Stahelski
16,16,Us (2019) ,Jordan Peele
17,17,Cold Pursuit (2019) ,Hans Petter Moland
18,18,Fast & Furious Presents: Hobbs & Shaw (2019) ,David Leitch
19,19,It Chapter Two (2019) ,Andy Muschietti
20,20,Freaks (2018) ,Zach Lipovsky
21,21,The Irishman (2019) ,Martin Scorsese
22,22,Black and Blue (2019) ,Deon Taylor
23,23,Captive State (2019) ,Rupert Wyatt
24,24,Once Upon a Time... in Hollywood (2019) ,Quentin Tarantino
25,25,A Beautiful Day in the Neighborhood (2019) ,Marielle Heller
26,26,Rocketman (2019) ,Dexter Fletcher
27,27,Jexi (2019) ,Jon Lucas
28,28,In the Shadow of the Moon (2019) ,Jim Mickle
29,29,3 from Hell (2019) ,Rob Zombie
30,30,Eli (2019) ,Ciarán Foy
31,31,Pokémon Detective Pikachu (2019) ,Rob Letterman
32,32,Aniara (2018) ,Pella Kagerman
33,33,Climax (2018) ,Gaspar Noé
34,34,Ad Astra (2019) ,James Gray
35,35,Alita: Battle Angel (2019) ,Robert Rodriguez
36,36,Avengers: Endgame (2019) ,Anthony Russo
37,37,Under the Silver Lake (2018) ,David Robert Mitchell
38,38,Knives Out (2019) ,Rian Johnson
39,39,Hustlers (2019) ,Lorene Scafaria
40,40,Ford v Ferrari (2019) ,James Mangold
41,41,Crawl (2019) ,Alexandre Aja
42,42,Doctor Sleep (2019) ,Mike Flanagan
43,43,Brightburn (2019) ,David Yarovesky
44,44,Long Shot (2019) ,Jonathan Levine
45,45,47 Meters Down: Uncaged (2019) ,Johannes Roberts
46,46,Anna (2019) ,Luc Besson
47,47,Hellboy (2019) ,Neil Marshall
48,48,Greta (2018) ,Neil Jordan
49,49,The Beach Bum (2019) ,Harmony Korine
50,50,Countdown (2019) ,Justin Dec
