PID,PID_Movie,MovieName,Genre
1,1,Joker (2019) , Crime
2,1,Joker (2019) , Drama
3,1,Joker (2019) , Thriller
4,2,Jojo Rabbit (2019) , Comedy
5,2,Jojo Rabbit (2019) , Drama
6,2,Jojo Rabbit (2019) , War
7,3,The King (2019) , Biography
8,3,The King (2019) , Drama
9,3,The King (2019) , History
10,3,The King (2019) , Romance
11,3,The King (2019) , War
12,4,Parasite (2019) , Comedy
13,4,Parasite (2019) , Drama
14,4,Parasite (2019) , Thriller
15,5,Marriage Story (2019) , Comedy
16,5,Marriage Story (2019) , Drama
17,5,Marriage Story (2019) , Romance
18,6,1917 (2019) , Drama
19,6,1917 (2019) , War
20,7,Midsommar (2019) , Drama
21,7,Midsommar (2019) , Horror
22,7,Midsommar (2019) , Mystery
23,7,Midsommar (2019) , Thriller
24,8,Ready or Not (2019) , Comedy
25,8,Ready or Not (2019) , Horror
26,8,Ready or Not (2019) , Mystery
27,8,Ready or Not (2019) , Thriller
28,9,Little Joe (2019) , Drama
29,9,Little Joe (2019) , Horror
30,9,Little Joe (2019) , Mystery
31,9,Little Joe (2019) , Sci-Fi
32,10,Dolemite Is My Name (2019) , Biography
33,10,Dolemite Is My Name (2019) , Comedy
34,10,Dolemite Is My Name (2019) , Drama
35,11,The Art of Racing in the Rain (2019) , Comedy
36,11,The Art of Racing in the Rain (2019) , Drama
37,11,The Art of Racing in the Rain (2019) , Romance
38,11,The Art of Racing in the Rain (2019) , Sport
39,12,Zombieland: Double Tap (2019) , Action
40,12,Zombieland: Double Tap (2019) , Comedy
41,12,Zombieland: Double Tap (2019) , Horror
42,13,The Perfection (2018) , Drama
43,13,The Perfection (2018) , Horror
44,13,The Perfection (2018) , Thriller
45,14,The Laundromat (2019) , Comedy
46,14,The Laundromat (2019) , Crime
47,14,The Laundromat (2019) , Drama
48,14,The Laundromat (2019) , History
49,15,John Wick: Chapter 3 - Parabellum (2019) , Action
50,15,John Wick: Chapter 3 - Parabellum (2019) , Crime
51,15,John Wick: Chapter 3 - Parabellum (2019) , Thriller
52,16,Us (2019) , Horror
53,16,Us (2019) , Mystery
54,16,Us (2019) , Thriller
55,17,Cold Pursuit (2019) , Action
56,17,Cold Pursuit (2019) , Adventure
57,17,Cold Pursuit (2019) , Comedy
58,17,Cold Pursuit (2019) , Crime
59,17,Cold Pursuit (2019) , Drama
60,17,Cold Pursuit (2019) , Thriller
61,18,Fast & Furious Presents: Hobbs & Shaw (2019) , Action
62,18,Fast & Furious Presents: Hobbs & Shaw (2019) , Adventure
63,19,It Chapter Two (2019) , Drama
64,19,It Chapter Two (2019) , Fantasy
65,19,It Chapter Two (2019) , Horror
66,20,Freaks (2018) , Drama
67,20,Freaks (2018) , Mystery
68,20,Freaks (2018) , Sci-Fi
69,20,Freaks (2018) , Thriller
70,21,The Irishman (2019) , Biography
71,21,The Irishman (2019) , Crime
72,21,The Irishman (2019) , Drama
