PID,PID_Movie,MovieName,Writer
1,1,Joker (2019) ,Todd Phillips
2,2,Jojo Rabbit (2019) ,Taika Waititi
3,3,The King (2019) ,David Michôd
4,4,Parasite (2019) ,Bong Joon Ho
5,5,Marriage Story (2019) ,Noah Baumbach
6,6,1917 (2019) ,Sam Mendes
7,7,Midsommar (2019) ,Ari Aster
8,8,Ready or Not (2019) ,Guy Busick
9,9,Little Joe (2019) ,Géraldine Bajard
10,10,Dolemite Is My Name (2019) ,Scott Alexander
11,11,The Art of Racing in the Rain (2019) ,Mark Bomback
12,12,Zombieland: Double Tap (2019) ,Rhett Reese
13,13,The Perfection (2018) ,Eric C. Charmelo
14,14,The Laundromat (2019) ,Jake Bernstein
15,15,John Wick: Chapter 3 - Parabellum (2019) ,Derek Kolstad
16,16,Us (2019) ,Jordan Peele
17,17,Cold Pursuit (2019) ,Frank Baldwin
18,18,Fast & Furious Presents: Hobbs & Shaw (2019) ,Chris Morgan
19,19,It Chapter Two (2019) ,Stephen King
20,20,Freaks (2018) ,Zach Lipovsky
21,21,The Irishman (2019) ,Steven Zaillian
22,22,Black and Blue (2019) ,Peter A. Dowling
23,23,Captive State (2019) ,Erica Beeney
24,24,Once Upon a Time... in Hollywood (2019) ,Quentin Tarantino
25,25,A Beautiful Day in the Neighborhood (2019) ,Micah Fitzerman-Blue
26,26,Rocketman (2019) ,Lee Hall
27,27,Jexi (2019) ,Jon Lucas
28,28,In the Shadow of the Moon (2019) ,Gregory Weidman
29,29,3 from Hell (2019) ,Rob Zombie
30,30,Eli (2019) ,David Chirchirillo
31,31,Pokémon Detective Pikachu (2019) ,Dan Hernandez
32,32,Aniara (2018) ,Pella Kagerman
33,33,Climax (2018) ,Gaspar Noé
34,34,Ad Astra (2019) ,James Gray
35,35,Alita: Battle Angel (2019) ,James Cameron
36,36,Avengers: Endgame (2019) ,Christopher Markus
37,37,Under the Silver Lake (2018) ,David Robert Mitchell
38,38,Knives Out (2019) ,Rian Johnson
39,39,Hustlers (2019) ,Lorene Scafaria
40,40,Ford v Ferrari (2019) ,Jez Butterworth
41,41,Crawl (2019) ,Michael Rasmussen
42,42,Doctor Sleep (2019) ,Stephen King
43,43,Brightburn (2019) ,Brian Gunn
44,44,Long Shot (2019) ,Dan Sterling
45,45,47 Meters Down: Uncaged (2019) ,Ernest Riera
46,46,Anna (2019) ,Luc Besson
47,47,Hellboy (2019) ,Andrew Cosby
48,48,Greta (2018) ,Ray Wright
49,49,The Beach Bum (2019) ,Harmony Korine
50,50,Countdown (2019) ,Justin Dec
