,PID,PID_Movie,MovieName,Genre
0,1,1,Joker (2019) , Crime
1,2,1,Joker (2019) , Drama
2,3,1,Joker (2019) , Thriller
3,4,2,Jojo Rabbit (2019) , Comedy
4,5,2,Jojo Rabbit (2019) , Drama
5,6,2,Jojo Rabbit (2019) , War
,PID,PID_Movie,MovieName,Genre
0,1,1,Joker (2019) , Crime
1,2,1,Joker (2019) , Drama
2,3,1,Joker (2019) , Thriller
3,4,2,Jojo Rabbit (2019) , Comedy
4,5,2,Jojo Rabbit (2019) , Drama
5,6,2,Jojo Rabbit (2019) , War
6,7,2,Brooklyn (2015) , Drama
7,8,2,Brooklyn (2015) , Romance
8,9,3,The Big Short (2015) , Biography
9,10,3,The Big Short (2015) , Comedy
10,11,3,The Big Short (2015) , Drama
11,12,3,The Big Short (2015) , History
12,13,3,Brooklyn (2015) , Drama
13,14,3,Brooklyn (2015) , Romance
14,15,4,The Big Short (2015) , Biography
15,16,4,The Big Short (2015) , Comedy
16,17,4,The Big Short (2015) , Drama
17,18,4,The Big Short (2015) , History
18,19,5,Mad Max: Fury Road (2015) , Action
19,20,5,Mad Max: Fury Road (2015) , Adventure
20,21,5,Mad Max: Fury Road (2015) , Sci-Fi
21,22,5,Mad Max: Fury Road (2015) , Thriller
22,23,5,Brooklyn (2015) , Drama
23,24,5,Brooklyn (2015) , Romance
24,25,5,Brooklyn (2015) , Drama
25,26,5,Brooklyn (2015) , Romance
26,27,2,Brooklyn (2015) , Drama
27,28,2,Brooklyn (2015) , Romance
28,29,3,The Big Short (2015) , Biography
29,30,3,The Big Short (2015) , Comedy
30,31,3,The Big Short (2015) , Drama
31,32,3,The Big Short (2015) , History
32,33,4,Mad Max: Fury Road (2015) , Action
33,34,4,Mad Max: Fury Road (2015) , Adventure
34,35,4,Mad Max: Fury Road (2015) , Sci-Fi
35,36,4,Mad Max: Fury Road (2015) , Thriller
36,37,5,Sicario (2015) , Action
37,38,5,Sicario (2015) , Crime
38,39,5,Sicario (2015) , Drama
39,40,5,Sicario (2015) , Mystery
40,41,5,Sicario (2015) , Thriller
41,42,5,Brooklyn (2015) , Drama
42,43,5,Brooklyn (2015) , Romance
43,44,5,Brooklyn (2015) , Drama
44,45,5,Brooklyn (2015) , Romance
45,46,6,The Big Short (2015) , Biography
46,47,6,The Big Short (2015) , Comedy
47,48,6,The Big Short (2015) , Drama
48,49,6,The Big Short (2015) , History
49,50,7,Mad Max: Fury Road (2015) , Action
50,51,7,Mad Max: Fury Road (2015) , Adventure
51,52,7,Mad Max: Fury Road (2015) , Sci-Fi
52,53,7,Mad Max: Fury Road (2015) , Thriller
53,54,8,Sicario (2015) , Action
54,55,8,Sicario (2015) , Crime
55,56,8,Sicario (2015) , Drama
56,57,8,Sicario (2015) , Mystery
57,58,8,Sicario (2015) , Thriller
58,59,9,When Marnie Was There (2014) , Animation
59,60,9,When Marnie Was There (2014) , Drama
60,61,9,When Marnie Was There (2014) , Family
61,62,9,When Marnie Was There (2014) , Mystery
62,63,10,The Martian (2015) , Adventure
63,64,10,The Martian (2015) , Drama
64,65,10,The Martian (2015) , Sci-Fi
65,66,11,The Revenant (2015) , Action
66,67,11,The Revenant (2015) , Adventure
67,68,11,The Revenant (2015) , Biography
68,69,11,The Revenant (2015) , Drama
69,70,11,The Revenant (2015) , History
70,71,11,The Revenant (2015) , Western
71,72,12,Anomalisa (2015) , Animation
72,73,12,Anomalisa (2015) , Comedy
73,74,12,Anomalisa (2015) , Drama
74,75,12,Anomalisa (2015) , Romance
75,76,1,Brooklyn (2015) , Drama
76,77,1,Brooklyn (2015) , Romance
77,78,1,Brooklyn (2015) , Drama
78,79,1,Brooklyn (2015) , Romance
79,80,2,The Big Short (2015) , Biography
80,81,2,The Big Short (2015) , Comedy
