PID,PID_Movie,MovieName,Stars
1,1,Joker (2019) ,Joaquin Phoenix
2,1,Joker (2019) ,Robert De Niro
3,1,Joker (2019) ,Zazie Beetz
4,1,Joker (2019) ,
5,2,Jojo Rabbit (2019) ,Roman Griffin Davis
6,2,Jojo Rabbit (2019) ,Thomasin McKenzie
7,2,Jojo Rabbit (2019) ,Scarlett Johansson
8,2,Jojo Rabbit (2019) ,
9,3,The King (2019) ,Tom Glynn-Carney
10,3,The King (2019) ,Gábor Czap
11,3,The King (2019) ,Tom Fisher
12,3,The King (2019) ,
13,4,Parasite (2019) ,Kang-ho Song
14,4,Parasite (2019) ,Sun-kyun Lee
15,4,Parasite (2019) ,Yeo-jeong Jo
16,4,Parasite (2019) ,
17,5,Marriage Story (2019) ,Adam Driver
18,5,Marriage Story (2019) ,Scarlett Johansson
19,5,Marriage Story (2019) ,Julia Greer
20,5,Marriage Story (2019) ,
21,6,1917 (2019) ,Dean-Charles Chapman
22,6,1917 (2019) ,George MacKay
23,6,1917 (2019) ,Daniel Mays
24,6,1917 (2019) ,
25,7,Midsommar (2019) ,Florence Pugh
26,7,Midsommar (2019) ,Jack Reynor
27,7,Midsommar (2019) ,Vilhelm Blomgren
28,7,Midsommar (2019) ,
29,8,Ready or Not (2019) ,Samara Weaving
30,8,Ready or Not (2019) ,Adam Brody
31,8,Ready or Not (2019) ,Mark O'Brien
32,8,Ready or Not (2019) ,
33,9,Little Joe (2019) ,Emily Beecham
34,9,Little Joe (2019) ,Ben Whishaw
35,9,Little Joe (2019) ,Kerry Fox
36,9,Little Joe (2019) ,
37,10,Dolemite Is My Name (2019) ,Eddie Murphy
38,10,Dolemite Is My Name (2019) ,Keegan-Michael Key
39,10,Dolemite Is My Name (2019) ,Mike Epps
40,10,Dolemite Is My Name (2019) ,
41,11,The Art of Racing in the Rain (2019) ,Kevin Costner
42,11,The Art of Racing in the Rain (2019) ,Milo Ventimiglia
43,11,The Art of Racing in the Rain (2019) ,Jackie Minns
44,11,The Art of Racing in the Rain (2019) ,
45,12,Zombieland: Double Tap (2019) ,Woody Harrelson
