,PID,PID_Movie,MovieName,Stars
0,1,1,Joker (2019) ,Joaquin Phoenix
1,2,1,Joker (2019) ,Robert De Niro
2,3,1,Joker (2019) ,Zazie Beetz
3,4,1,Joker (2019) ,
4,5,2,Jojo Rabbit (2019) ,Roman Griffin Davis
5,6,2,Jojo Rabbit (2019) ,Thomasin McKenzie
6,7,2,Jojo Rabbit (2019) ,Scarlett Johansson
7,8,2,Jojo Rabbit (2019) ,
,PID,PID_Movie,MovieName,Stars
0,1,1,Joker (2019) ,Joaquin Phoenix
1,2,1,Joker (2019) ,Robert De Niro
2,3,1,Joker (2019) ,Zazie Beetz
3,4,1,Joker (2019) ,
4,5,2,Jojo Rabbit (2019) ,Roman Griffin Davis
5,6,2,Jojo Rabbit (2019) ,Thomasin McKenzie
6,7,2,Jojo Rabbit (2019) ,Scarlett Johansson
7,8,2,Jojo Rabbit (2019) ,
8,9,2,Brooklyn (2015) ,Saoirse Ronan
9,10,2,Brooklyn (2015) ,Emory Cohen
10,11,2,Brooklyn (2015) ,Domhnall Gleeson
11,12,2,Brooklyn (2015) ,
12,13,3,The Big Short (2015) ,Christian Bale
13,14,3,The Big Short (2015) ,Steve Carell
14,15,3,The Big Short (2015) ,Ryan Gosling
15,16,3,The Big Short (2015) ,
16,17,3,Brooklyn (2015) ,Saoirse Ronan
17,18,3,Brooklyn (2015) ,Emory Cohen
18,19,3,Brooklyn (2015) ,Domhnall Gleeson
19,20,3,Brooklyn (2015) ,
20,21,4,The Big Short (2015) ,Christian Bale
21,22,4,The Big Short (2015) ,Steve Carell
22,23,4,The Big Short (2015) ,Ryan Gosling
23,24,4,The Big Short (2015) ,
24,25,5,Mad Max: Fury Road (2015) ,Tom Hardy
25,26,5,Mad Max: Fury Road (2015) ,Charlize Theron
26,27,5,Mad Max: Fury Road (2015) ,Nicholas Hoult
27,28,5,Mad Max: Fury Road (2015) ,
28,29,5,Brooklyn (2015) ,Saoirse Ronan
29,30,5,Brooklyn (2015) ,Emory Cohen
30,31,5,Brooklyn (2015) ,Domhnall Gleeson
31,32,5,Brooklyn (2015) ,
32,33,5,Brooklyn (2015) ,Saoirse Ronan
33,34,5,Brooklyn (2015) ,Emory Cohen
34,35,5,Brooklyn (2015) ,Domhnall Gleeson
35,36,5,Brooklyn (2015) ,
36,37,2,Brooklyn (2015) ,Saoirse Ronan
37,38,2,Brooklyn (2015) ,Emory Cohen
38,39,2,Brooklyn (2015) ,Domhnall Gleeson
39,40,2,Brooklyn (2015) ,
40,41,3,The Big Short (2015) ,Christian Bale
41,42,3,The Big Short (2015) ,Steve Carell
42,43,3,The Big Short (2015) ,Ryan Gosling
43,44,3,The Big Short (2015) ,
44,45,4,Mad Max: Fury Road (2015) ,Tom Hardy
45,46,4,Mad Max: Fury Road (2015) ,Charlize Theron
46,47,4,Mad Max: Fury Road (2015) ,Nicholas Hoult
47,48,4,Mad Max: Fury Road (2015) ,
48,49,5,Sicario (2015) ,Emily Blunt
49,50,5,Sicario (2015) ,Josh Brolin
50,51,5,Sicario (2015) ,Benicio Del Toro
51,52,5,Sicario (2015) ,
52,53,5,Brooklyn (2015) ,Saoirse Ronan
53,54,5,Brooklyn (2015) ,Emory Cohen
54,55,5,Brooklyn (2015) ,Domhnall Gleeson
55,56,5,Brooklyn (2015) ,
56,57,5,Brooklyn (2015) ,Saoirse Ronan
57,58,5,Brooklyn (2015) ,Emory Cohen
58,59,5,Brooklyn (2015) ,Domhnall Gleeson
59,60,5,Brooklyn (2015) ,
60,61,6,The Big Short (2015) ,Christian Bale
61,62,6,The Big Short (2015) ,Steve Carell
62,63,6,The Big Short (2015) ,Ryan Gosling
63,64,6,The Big Short (2015) ,
64,65,7,Mad Max: Fury Road (2015) ,Tom Hardy
65,66,7,Mad Max: Fury Road (2015) ,Charlize Theron
66,67,7,Mad Max: Fury Road (2015) ,Nicholas Hoult
67,68,7,Mad Max: Fury Road (2015) ,
68,69,8,Sicario (2015) ,Emily Blunt
69,70,8,Sicario (2015) ,Josh Brolin
70,71,8,Sicario (2015) ,Benicio Del Toro
71,72,8,Sicario (2015) ,
72,73,9,When Marnie Was There (2014) ,Sara Takatsuki
73,74,9,When Marnie Was There (2014) ,Kasumi Arimura
74,75,9,When Marnie Was There (2014) ,Nanako Matsushima
75,76,9,When Marnie Was There (2014) ,
76,77,10,The Martian (2015) ,Matt Damon
77,78,10,The Martian (2015) ,Jessica Chastain
78,79,10,The Martian (2015) ,Kristen Wiig
79,80,10,The Martian (2015) ,
80,81,11,The Revenant (2015) ,Leonardo DiCaprio
81,82,11,The Revenant (2015) ,Tom Hardy
82,83,11,The Revenant (2015) ,Will Poulter
83,84,11,The Revenant (2015) ,
