,PID,PID_Movie,MovieName,Writer
0,1,1,Joker (2019) ,Todd Phillips
1,2,1,Joker (2019) ,Scott Silver
2,3,1,Joker (2019) ,3 more credits
3,4,2,Jojo Rabbit (2019) ,Taika Waititi
4,5,2,Jojo Rabbit (2019) ,Christine Leunens
,PID,PID_Movie,MovieName,Writer
0,1,1,Joker (2019) ,Todd Phillips
1,2,1,Joker (2019) ,Scott Silver
2,3,1,Joker (2019) ,3 more credits
3,4,2,Jojo Rabbit (2019) ,Taika Waititi
4,5,2,Jojo Rabbit (2019) ,Christine Leunens
5,6,2,Brooklyn (2015) ,Nick Hornby
6,7,2,Brooklyn (2015) ,Colm Tóibín
7,8,3,The Big Short (2015) ,Charles Randolph
8,9,3,The Big Short (2015) ,Adam McKay
9,10,3,The Big Short (2015) ,1 more credit
10,11,3,Brooklyn (2015) ,Nick Hornby
11,12,3,Brooklyn (2015) ,Colm Tóibín
12,13,4,The Big Short (2015) ,Charles Randolph
13,14,4,The Big Short (2015) ,Adam McKay
14,15,4,The Big Short (2015) ,1 more credit
15,16,5,Mad Max: Fury Road (2015) ,George Miller
16,17,5,Mad Max: Fury Road (2015) ,Brendan McCarthy
17,18,5,Mad Max: Fury Road (2015) ,1 more credit
18,19,5,Brooklyn (2015) ,Nick Hornby
19,20,5,Brooklyn (2015) ,Colm Tóibín
20,21,5,Brooklyn (2015) ,Nick Hornby
21,22,5,Brooklyn (2015) ,Colm Tóibín
22,23,2,Brooklyn (2015) ,Nick Hornby
23,24,2,Brooklyn (2015) ,Colm Tóibín
24,25,3,The Big Short (2015) ,Charles Randolph
25,26,3,The Big Short (2015) ,Adam McKay
26,27,3,The Big Short (2015) ,1 more credit
27,28,4,Mad Max: Fury Road (2015) ,George Miller
28,29,4,Mad Max: Fury Road (2015) ,Brendan McCarthy
29,30,4,Mad Max: Fury Road (2015) ,1 more credit
30,31,5,Sicario (2015) ,Taylor Sheridan
31,32,5,Brooklyn (2015) ,Nick Hornby
32,33,5,Brooklyn (2015) ,Colm Tóibín
33,34,5,Brooklyn (2015) ,Nick Hornby
34,35,5,Brooklyn (2015) ,Colm Tóibín
35,36,6,The Big Short (2015) ,Charles Randolph
36,37,6,The Big Short (2015) ,Adam McKay
37,38,6,The Big Short (2015) ,1 more credit
38,39,7,Mad Max: Fury Road (2015) ,George Miller
39,40,7,Mad Max: Fury Road (2015) ,Brendan McCarthy
40,41,7,Mad Max: Fury Road (2015) ,1 more credit
41,42,8,Sicario (2015) ,Taylor Sheridan
42,43,9,When Marnie Was There (2014) ,Joan G. Robinson
43,44,9,When Marnie Was There (2014) ,Keiko Niwa
44,45,9,When Marnie Was There (2014) ,3 more credits
45,46,10,The Martian (2015) ,Drew Goddard
46,47,10,The Martian (2015) ,Andy Weir
47,48,11,The Revenant (2015) ,Mark L. Smith
48,49,11,The Revenant (2015) ,Alejandro G. Iñárritu
49,50,11,The Revenant (2015) ,1 more credit
50,51,12,Anomalisa (2015) ,Charlie Kaufman
51,52,1,Brooklyn (2015) ,Nick Hornby
52,53,1,Brooklyn (2015) ,Colm Tóibín
53,54,1,Brooklyn (2015) ,Nick Hornby
54,55,1,Brooklyn (2015) ,Colm Tóibín
55,56,2,The Big Short (2015) ,Charles Randolph
56,57,2,The Big Short (2015) ,Adam McKay
57,58,2,The Big Short (2015) ,1 more credit
58,59,3,Mad Max: Fury Road (2015) ,George Miller
59,60,3,Mad Max: Fury Road (2015) ,Brendan McCarthy
60,61,3,Mad Max: Fury Road (2015) ,1 more credit
61,62,4,Sicario (2015) ,Taylor Sheridan
62,63,5,When Marnie Was There (2014) ,Joan G. Robinson
63,64,5,When Marnie Was There (2014) ,Keiko Niwa
64,65,5,When Marnie Was There (2014) ,3 more credits
65,66,5,Brooklyn (2015) ,Nick Hornby
66,67,5,Brooklyn (2015) ,Colm Tóibín
67,68,6,The Big Short (2015) ,Charles Randolph
68,69,6,The Big Short (2015) ,Adam McKay
69,70,6,The Big Short (2015) ,1 more credit
70,71,7,Mad Max: Fury Road (2015) ,George Miller
71,72,7,Mad Max: Fury Road (2015) ,Brendan McCarthy
72,73,7,Mad Max: Fury Road (2015) ,1 more credit
73,74,8,Sicario (2015) ,Taylor Sheridan
74,75,9,When Marnie Was There (2014) ,Joan G. Robinson
75,76,9,When Marnie Was There (2014) ,Keiko Niwa
76,77,9,When Marnie Was There (2014) ,3 more credits
77,78,10,The Martian (2015) ,Drew Goddard
78,79,10,The Martian (2015) ,Andy Weir
79,80,11,The Revenant (2015) ,Mark L. Smith
80,81,11,The Revenant (2015) ,Alejandro G. Iñárritu
81,82,11,The Revenant (2015) ,1 more credit
82,83,12,Anomalisa (2015) ,Charlie Kaufman
83,84,13,Spotlight (2015) ,Josh Singer
84,85,13,Spotlight (2015) ,Tom McCarthy
85,86,14,Room (2015) ,Emma Donoghue
86,87,14,Room (2015) ,Emma Donoghue
87,88,15,Inside Out (2015) ,Pete Docter
88,89,15,Inside Out (2015) ,Ronnie Del Carmen
89,90,15,Inside Out (2015) ,7 more credits
